title,link,sentiment
LIVEKing Charles becomes first head of Church of England to pray publicly with PopeThe pair join a service in the Vatican's Sistine Chapel in a symbolic display of unity between the Catholic Church and the Church of England.,https://www.bbc.com/news/live/ce3k41jkvkxt,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.5423}"
Rubio warns against West Bank annexation after Israel's parliament advances moveThe US Secretary of State says such a step would threaten Washington's plan to end the conflict in Gaza.4 hrs agoMiddle East,https://bbc.com/news/articles/cn8xvj108z9o,"{'neg': 0.184, 'neu': 0.816, 'pos': 0.0, 'compound': -0.6486}"
LIVEKing Charles becomes first head of Church of England to pray publicly with PopeThe pair join a service in the Vatican's Sistine Chapel in a symbolic display of unity between the Catholic Church and the Church of England.,https://www.bbc.com/news/live/ce3k41jkvkxt,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.5423}"
Rubio warns against West Bank annexation after Israel's parliament advances moveThe US Secretary of State says such a step would threaten Washington's plan to end the conflict in Gaza.4 hrs agoMiddle East,https://bbc.com/news/articles/cn8xvj108z9o,"{'neg': 0.184, 'neu': 0.816, 'pos': 0.0, 'compound': -0.6486}"
Trump says Putin talks 'don't go anywhere' as he imposes new sanctions,https://bbc.com/news/articles/cd6758pn6ylo,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}"
"Barbs fly as Mamdani and Cuomo meet in final, furious New York mayoral debateThere was no holding back as the three leading candidates for mayor met in a final push to win votes.10 hrs agoUS & Canada",https://bbc.com/news/articles/cwy1nyj7j21o,"{'neg': 0.141, 'neu': 0.767, 'pos': 0.091, 'compound': -0.2732}"
Myanmar's army is taking back territory with relentless air strikes - and China's helpChina has thrown its weight behind the junta - and its widely condemned plan to hold an election in December.15 hrs agoAsia,https://bbc.com/news/articles/c051m0jn392o,"{'neg': 0.148, 'neu': 0.82, 'pos': 0.033, 'compound': -0.6369}"
"Watch: Millions of red crabs begin annual migration on Christmas IslandThe island off mainland Australia experiences the event every summer, when around 50 million crabs scuttle down from their homes to the beach to lay eggs.4 hrs agoAustralia",https://bbc.com/news/videos/cx206pvyld5o,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"LIVEVideos show blast at Russia munitions factory that reportedly killed 10Latest updates from the BBC's specialists in fact-checking, verifying video and tackling disinformation.",https://www.bbc.com/news/live/cwy16gyxj7zt,"{'neg': 0.17, 'neu': 0.83, 'pos': 0.0, 'compound': -0.6705}"
"Should you always treat a fever?They are uncomfortable, annoying and occasionally dangerous. But fevers are also an essential part of how we protect ourselves.",https://bbc.com/future/article/20251022-why-do-we-get-fevers-and-should-you-always-treat-them,"{'neg': 0.193, 'neu': 0.625, 'pos': 0.182, 'compound': 0.177}"
